timestamp,steps,heart_rate,calories,distance,source
2025-12-24 16:38:50.209524,5139,79,205.6,4.1,samsung_health
2025-12-24 16:38:50.209524,14928,100,671.8,11.2,google_fit
2025-12-24 16:38:50.209524,13785,94,579.0,11.3,ios_health
2025-12-25 16:38:50.209524,9451,93,378.0,7.6,samsung_health
2025-12-25 16:38:50.209524,9489,105,427.0,7.1,google_fit
2025-12-25 16:38:50.209524,13261,63,557.0,10.9,ios_health
2025-12-26 16:38:50.209524,8619,90,344.8,6.9,samsung_health
2025-12-26 16:38:50.209524,15788,85,710.5,11.8,google_fit
2025-12-26 16:38:50.209524,11799,89,495.6,9.7,ios_health
2025-12-27 16:38:50.209524,11929,86,477.2,9.5,samsung_health
2025-12-27 16:38:50.209524,17821,67,801.9,13.4,google_fit
2025-12-27 16:38:50.209524,12232,79,513.7,10.0,ios_health
2025-12-28 16:38:50.209524,12012,71,480.5,9.6,samsung_health
2025-12-28 16:38:50.209524,13174,71,592.8,9.9,google_fit
2025-12-28 16:38:50.209524,9834,96,413.0,8.1,ios_health
2025-12-29 16:38:50.209524,12135,80,485.4,9.7,samsung_health
2025-12-29 16:38:50.209524,10222,80,460.0,7.7,google_fit
2025-12-29 16:38:50.209524,15996,75,671.8,13.1,ios_health
2025-12-30 16:38:50.209524,8762,87,350.5,7.0,samsung_health
2025-12-30 16:38:50.209524,10370,102,466.6,7.8,google_fit
2025-12-30 16:38:50.209524,12571,94,528.0,10.3,ios_health
2025-12-31 16:38:50.209524,14653,68,586.1,11.7,samsung_health
2025-12-31 16:38:50.209524,15283,88,687.7,11.5,google_fit
2025-12-31 16:38:50.209524,13875,82,582.8,11.4,ios_health
2026-01-01 16:38:50.209524,11097,60,443.9,8.9,samsung_health
2026-01-01 16:38:50.209524,11174,104,502.8,8.4,google_fit
2026-01-01 16:38:50.209524,15232,87,639.7,12.5,ios_health
2026-01-02 16:38:50.209524,7617,63,304.7,6.1,samsung_health
2026-01-02 16:38:50.209524,16778,66,755.0,12.6,google_fit
2026-01-02 16:38:50.209524,11416,79,479.5,9.4,ios_health
2026-01-03 16:38:50.209524,11703,87,468.1,9.4,samsung_health
2026-01-03 16:38:50.209524,9110,88,409.9,6.8,google_fit
2026-01-03 16:38:50.209524,13992,83,587.7,11.5,ios_health
2026-01-04 16:38:50.209524,11601,68,464.0,9.3,samsung_health
2026-01-04 16:38:50.209524,13587,93,611.4,10.2,google_fit
2026-01-04 16:38:50.209524,15231,76,639.7,12.5,ios_health
2026-01-05 16:38:50.209524,12047,87,481.9,9.6,samsung_health
2026-01-05 16:38:50.209524,16058,66,722.6,12.0,google_fit
2026-01-05 16:38:50.209524,10271,84,431.4,8.4,ios_health
2026-01-06 16:38:50.209524,8494,60,339.8,6.8,samsung_health
2026-01-06 16:38:50.209524,11139,69,501.3,8.4,google_fit
2026-01-06 16:38:50.209524,15343,93,644.4,12.6,ios_health
2026-01-07 16:38:50.209524,9000,97,360.0,7.2,samsung_health
2026-01-07 16:38:50.209524,9774,92,439.8,7.3,google_fit
2026-01-07 16:38:50.209524,11844,69,497.4,9.7,ios_health
2026-01-08 16:38:50.209524,5484,75,219.4,4.4,samsung_health
2026-01-08 16:38:50.209524,9836,77,442.6,7.4,google_fit
2026-01-08 16:38:50.209524,11948,75,501.8,9.8,ios_health
2026-01-09 16:38:50.209524,9112,82,364.5,7.3,samsung_health
2026-01-09 16:38:50.209524,10121,79,455.4,7.6,google_fit
2026-01-09 16:38:50.209524,14946,75,627.7,12.3,ios_health
2026-01-10 16:38:50.209524,14909,89,596.4,11.9,samsung_health
2026-01-10 16:38:50.209524,10485,69,471.8,7.9,google_fit
2026-01-10 16:38:50.209524,14986,79,629.4,12.3,ios_health
2026-01-11 16:38:50.209524,7240,90,289.6,5.8,samsung_health
2026-01-11 16:38:50.209524,16535,66,744.1,12.4,google_fit
2026-01-11 16:38:50.209524,10728,94,450.6,8.8,ios_health
2026-01-12 16:38:50.209524,11819,89,472.8,9.5,samsung_health
2026-01-12 16:38:50.209524,13935,76,627.1,10.5,google_fit
2026-01-12 16:38:50.209524,6906,68,290.1,5.7,ios_health
2026-01-13 16:38:50.209524,5218,86,208.7,4.2,samsung_health
2026-01-13 16:38:50.209524,12432,87,559.4,9.3,google_fit
2026-01-13 16:38:50.209524,8725,67,366.5,7.2,ios_health
2026-01-14 16:38:50.209524,10424,83,417.0,8.3,samsung_health
2026-01-14 16:38:50.209524,13410,105,603.4,10.1,google_fit
2026-01-14 16:38:50.209524,6040,62,253.7,5.0,ios_health
2026-01-15 16:38:50.209524,5870,81,234.8,4.7,samsung_health
